Austin,Dallas Northeast,Dallas Northwest,Dallas Southeast,Dallas Southwest,East Valley - AZ,Houston Northeast,Houston Northwest,Houston Southeast,Houston Southwest,Phoenix,San Antonio,Tucson,Utah North,Utah South
73301,75001,75006,75014,75051,85044,77001,77024,77002,77005,85001,77901,85122,82930,84003
73344,75002,75010,75017,75052,85045,77007,77040,77003,77006,85002,77903,85128,83201,84004
76501,75007,75011,75030,75054,85048,77008,77041,77004,77019,85003,77904,85131,83202,84005
76502,75009,75015,75032,75104,85054,77009,77042,77010,77025,85004,77905,85132,83206,84007
76503,75013,75016,75040,75106,85117,77014,77043,77011,77027,85005,77960,85191,83230,84009
76504,75023,75019,75041,75165,85118,77016,77055,77012,77030,85006,77984,85194,83232,84013
76508,75024,75022,75042,75167,85119,77018,77063,77013,77031,85007,78002,85614,83234,84020
76511,75025,75027,75043,75208,85120,77022,77064,77015,77035,85008,78003,85619,83237,84021
76513,75026,75028,75044,75211,85121,77026,77065,77017,77036,85009,78004,85622,83241,84029
76518,75034,75029,75045,75212,85127,77028,77070,77020,77045,85010,78005,85629,83243,84032
76519,75035,75033,75046,75233,85138,77032,77077,77021,77046,85011,78006,85641,83245,84036
76520,75036,75038,75047,75236,85139,77037,77079,77023,77053,85012,78009,85652,83246,84042
76522,75048,75039,75049,75249,85140,77038,77080,77029,77054,85013,78010,85653,83252,84043
76523,75058,75050,75081,76001,85142,77039,77082,77033,77056,85014,78011,85654,83263,84044
76524,75069,75053,75083,76002,85143,77044,77084,77034,77057,85015,78013,85658,83276,84045
76526,75070,75056,75085,76003,85144,77049,77094,77047,77071,85016,78015,85701,83286,84047
76527,75071,75057,75087,76004,85147,77050,77095,77048,77072,85017,78016,85702,84010,84048
76528,75072,75059,75088,76005,85172,77060,77304,77051,77074,85018,78023,85703,84011,84049
76530,75074,75060,75089,76007,85178,77066,77316,77052,77081,85019,78026,85704,84014,84052
76533,75075,75061,75101,76008,85201,77067,77318,77058,77083,85020,78027,85705,84015,84057
76534,75078,75062,75114,76009,85202,77068,77333,77059,77085,85021,78028,85706,84016,84058
76537,75080,75063,75115,76010,85203,77069,77337,77061,77096,85022,78029,85707,84017,84059
76539,75082,75064,75116,76011,85204,77073,77353,77062,77098,85023,78039,85708,84025,84060
76540,75086,75065,75118,76012,85205,77076,77354,77075,77099,85024,78050,85709,84033,84061
76541,75090,75067,75119,76013,85206,77078,77355,77087,77401,85025,78052,85710,84037,84062
76542,75091,75068,75120,76014,85207,77086,77356,77089,77404,85026,78054,85711,84040,84065
76543,75092,75077,75123,76015,85208,77088,77362,77201,77406,85027,78056,85712,84041,84068
76544,75093,75099,75125,76016,85209,77090,77363,77203,77407,85028,78057,85713,84050,84070
76547,75094,75209,75126,76017,85210,77091,77375,77208,77411,85029,78059,85714,84054,84071
76548,75097,75220,75134,76018,85211,77092,77377,77209,77414,85030,78061,85715,84056,84074
76549,75098,75229,75137,76019,85212,77093,77410,77210,77415,85031,78063,85716,84067,84081
76550,75121,75234,75138,76020,85213,77202,77412,77212,77417,85032,78064,85717,84075,84082
76554,75135,75235,75141,76028,85214,77204,77413,77252,77420,85033,78065,85718,84087,84084
76556,75164,75244,75142,76031,85215,77205,77418,77253,77422,85034,78066,85719,84101,84088
76557,75166,75247,75143,76033,85216,77206,77423,77292,77430,85035,78069,85720,84102,84090
76558,75173,76006,75146,76035,85224,77207,77426,77297,77431,85036,78070,85721,84103,84091
76559,75248,76021,75147,76036,85225,77213,77429,77501,77432,85037,78073,85722,84105,84092
76561,75252,76022,75149,76041,85226,77215,77433,77502,77434,85038,78101,85723,84106,84093
76564,75287,76023,75150,76043,85233,77216,77445,77503,77435,85039,78108,85724,84107,84094
76567,75401,76034,75152,76044,85234,77217,77446,77504,77436,85040,78109,85725,84108,84095
76569,75402,76039,75154,76048,85236,77218,77447,77505,77437,85041,78112,85726,84109,84096
76570,75403,76040,75157,76049,85244,77219,77449,77506,77441,85042,78113,85728,84111,84097
76571,75404,76051,75158,76050,85246,77220,77450,77507,77442,85043,78114,85730,84112,84098
76573,75407,76052,75159,76055,85248,77221,77452,77508,77444,85046,78115,85731,84113,84104
76574,75409,76053,75160,76058,85249,77222,77466,77510,77448,85050,78121,85732,84115,84110
76577,75414,76054,75161,76059,85250,77223,77473,77511,77451,85051,78122,85733,84116,84114
76578,75418,76071,75168,76060,85251,77224,77474,77512,77453,85053,78123,85734,84117,84118
76579,75423,76078,75169,76061,85252,77225,77484,77514,77454,85060,78124,85735,84124,84119
76596,75424,76092,75172,76063,85253,77226,77491,77517,77456,85061,78130,85736,84132,84120
76597,75428,76095,75180,76064,85254,77227,77492,77518,77459,85062,78131,85737,84133,84121
76598,75429,76099,75181,76065,85255,77228,77493,77520,77461,85063,78132,85738,84136,84122
76599,75438,76118,75182,76066,85256,77229,77494,77521,77463,85064,78133,85739,84138,84123
76629,75439,76131,75185,76067,85257,77230,77801,77522,77464,85065,78135,85740,84139,84125
76630,75442,76137,75187,76068,85258,77231,77802,77523,77467,85066,78140,85741,84143,84126
76632,75443,76148,75189,76070,85259,77233,77803,77530,77468,85067,78143,85742,84147,84127
76638,75452,76155,75201,76077,85260,77234,77805,77536,77469,85068,78148,85743,84148,84128
76640,75454,76177,75202,76082,85261,77235,77806,77539,77470,85069,78150,85744,84152,84129
76643,75458,76179,75203,76084,85262,77236,77807,77546,77471,85070,78152,85745,84158,84130
76655,75459,76180,75204,76085,85266,77237,77830,77547,77476,85071,78154,85746,84180,84131
76656,75479,76182,75205,76086,85267,77238,77833,77549,77477,85072,78155,85747,84189,84134
76657,75485,76201,75206,76087,85268,77240,77834,77550,77478,85073,78156,85748,84201,84141
76661,75490,76202,75207,76088,85269,77241,77840,77551,77479,85074,78160,85749,84244,84145
76680,75491,76203,75210,76093,85271,77242,77841,77552,77480,85075,78161,85750,84302,84150
76682,75495,76204,75214,76094,85274,77243,77842,77553,77481,85076,78163,85751,84304,84151
76684,75496,76205,75215,76096,85275,77244,77843,77555,77482,85078,78201,85752,84305,84157
76685,,76206,75216,76097,85277,77245,77844,77560,77486,85079,78202,85754,84306,84165
76689,,76207,75217,76098,85280,77248,77845,77562,77487,85080,78203,85755,84307,84170
76703,,76208,75218,76101,85281,77249,77863,77563,77488,85082,78204,85756,84308,84171
76704,,76209,75219,76102,85282,77251,77866,77565,77489,85083,78205,85757,84309,84184
76705,,76210,75221,76103,85283,77254,77868,77568,77496,85085,78206,85775,84310,84190
76706,,76226,75222,76104,85284,77255,77873,77571,77497,85086,78207,,84311,84199
76707,,76227,75223,76105,85285,77256,77876,77572,77498,85087,78208,,84312,84501
76708,,76234,75224,76106,85286,77257,77879,77573,77515,85097,78209,,84314,84518
76710,,76244,75225,76107,85287,77258,77880,77574,77516,85098,78210,,84315,84521
76711,,76246,75226,76108,85288,77259,77881,77578,77531,85264,78211,,84317,84526
76712,,76247,75227,76109,85295,77261,78931,77580,77534,85301,78212,,84318,84528
76714,,76248,75228,76110,85296,77262,78933,77581,77541,85302,78213,,84319,84542
76715,,76249,75230,76111,85297,77263,78934,77584,77542,85303,78214,,84320,84601
